source,date,description,product_area,severity,notes
forum,2026-05-11,Tab completion returning [not_found] on every request — codebase indexing stuck on loading,Tab completion,P0,Every request logs 'Error in streaming cpp (connect error) [not_found]'. Tab completely broken. Indexing never completes.
forum,2026-01-23,Code suggestions stopped appearing after clearing settings.json — worked once then broke again,Tab completion,P1,Chat works fine but Tab suggestions gone. Clearing settings only fixes temporarily. Intermittent — hard to reproduce reliably.
forum,2026-04-21,Tab completion has gotten worse — hallucinating suggestions aggressively with no context,Tab completion,P1,Overly aggressive suggestions when no context available. Previously fast and accurate for refactoring — now unreliable for new code.
forum,2025-10-21,Tab complete shows suggestion but pressing Tab does nothing — or deletes 5-20 unrelated lines,Tab completion,P0,Must type something first to accept suggestion. When it does accept — deletes unrelated code below cursor position. Data loss risk.
forum,2026-01-05,Agent/editor mode switch button broken — no way to switch back to editor mode without CMD+E,Agent,P2,Button changes label but doesn't switch modes. Workaround exists (CMD+E) but UX is broken and confusing.
forum,2025-12-07,Agent deletes files on repeated edits — not intentional deletion but a write bug,Agent,P0,Since update 2.1.50 repeated edits to same file result in file deletion. Confirmed not agent logic — bug in Cursor's file write mechanism.
forum,2025-11-03,Cursor reliably crashes every time Agent mode edits a file — Agent mode entirely unusable,Agent,P0,Reproducible: new folder, cleared history, all extensions disabled. UI freezes the moment Agent goes to edit any file. 100% repro rate.
forum,2026-03-27,Agent/editor view selection applies to ALL open Cursor windows — not per-window,Agent,P2,Switching to agent view in one window forces all other open Cursor windows to switch too. Breaks multi-project workflows.
forum,2025-11-06,Agent edits files without accessing them in user mode — bypasses confirmation requirement,Agent,P1,Agent auto-creates/edits files using markdown code block syntax without user confirmation. Security and consent concern.
forum,2026-06-01,Agent mode applies file changes directly to disk with no diff UI or Accept/Reject controls after update,Agent,P0,After recent update — no red/green inline diff shown. No Keep/Undo buttons. Changes auto-accepted with no review step. Multiple versions affected.
